FamilyName	Subfamily	Tribe	Genus	Species	HostFamily	HostGenus	HostSpecies	HostCommonName
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Neomyzocallis)	punctata	Fagaceae	Quercus	alba	white oak
Miridae	Phylinae	Phylini	Rubeospineus	bicorniger	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Mirinae	Mirini	Phytocoris	rubrimaculatus	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Phylinae	Phylini	Atractotomus	agrifoliae	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Mirinae	Mirini	Phytocoris	cunealis	Fagaceae	Quercus	dumosa	NULL
Miridae	Phylinae	Phylini	Atractotomus	agrifoliae	Fagaceae	Quercus	wislizeni	NULL
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Tetraleurodes	perileuca	Fagaceae	Quercus	chrysolepis	Canyon Live Oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Tuberculoides)	annulatus	Fagaceae	Quercus	alba	white oak
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Myzocallis)	boerneri	Fagaceae	Quercus	ilex	Holly Oak
Miridae	Phylinae	Phylini	Phallospinophylus	setosus	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Phylinae	Phylini	Ceratopsallus	sp	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Mirinae	Herdoniini	Dacerla	mediospinosa	Fagaceae	Quercus	sp	NULL
Geocoridae	none	Geocorini	Geocoris	pallens	Fagaceae	Quercus	agrifolia	NULL
Pentatomidae	Pentatominae	Pentatomini	Banasa	dimiata	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Phylinae	Phylini	Tuxedo	bicinctus	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Atractotomus	sp	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Irbisia	californica	Fagaceae	Quercus	wislizeni	NULL
Miridae	Phylinae	Phylini	Pygovepres	vaccinicola	Fagaceae	Quercus	berberidifolia	NULL
Miridae	Phylinae	Phylini	Tuxedo	susansolomonae	Fagaceae	Quercus	berberidifolia	NULL
Miridae	Orthotylinae	Orthotylini	Orthotylus	sp	Fagaceae	Quercus	berberidifolia	scrub oak
Rhopalidae	Rhopalinae	Harmostini	Harmostes	reflexulus	Fagaceae	Quercus	arizonica	NULL
Aphididae	Calaphidinae	Panaphidini	Neosymydobius	agrifoliae	Fagaceae	Quercus	agrifolia	blue oak
Aphididae	Calaphidinae	Panaphidini	Neosymydobius	agrifoliae	Fagaceae	Quercus	douglasii	blue oak
Tingidae	Tinginae	Tingini	Corythucha	sphaeralceae	Fagaceae	Quercus	dumosa	NULL
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	californicus	Fagaceae	Quercus	kelloggii	NULL
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	kiowanicus	Fagaceae	Quercus	dumosa	NULL
Aphididae	Calaphidinae	Panaphidini	Myzocallis	agrifolicola	Fagaceae	Quercus	sp	oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Tetralicia	sp	Fagaceae	Quercus	sp	oak
Miridae	Phylinae	Phylini	Rhinacloa	forticornis	Fagaceae	Quercus	turbinella	NULL
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	maureri	Fagaceae	Quercus	kelloggii	NULL
Miridae	Phylinae	Phylini	Chlamydatus	associatus	Fagaceae	Quercus	agrifolia	California live oak
Miridae	Mirinae	Mirini	Phytocoris	rufoscriptus	Fagaceae	Quercus	agrifolia	NULL
Miridae	Phylinae	Phylini	Tuxedo	susansolomonae	Fagaceae	Quercus	engelmanni	NULL
Miridae	Phylinae	Phylini	Tuxedo	susansolomonae	Fagaceae	Quercus	oxycedrus	NULL
Aphididae	Calaphidinae	Panaphidini	Myzocallis	sp	Fagaceae	Quercus	ilex	Holly Oak
Aphididae	Calaphidinae	Panaphidini	Myzocallis	sp	Fagaceae	Quercus	suber	cork oak
Miridae	Mirinae	Mirini	Irbisia	mollipes	Fagaceae	Quercus	dumosa	NULL
Miridae	Mirinae	Mirini	Dichrooscytus	longirostris	Fagaceae	Quercus	agrifolia	NULL
Miridae	Phylinae	Pilophorini	Pilophorus	tomentosus	Fagaceae	Quercus	agrifolia	NULL
Miridae	Orthotylinae	Orthotylini	Orthotylus	fraternus	Fagaceae	Quercus	sp	oak
Miridae	Phylinae	Phylini	Atractotomus	agrifoliae	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Brooksetta	ferox	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Aoplonema	sp	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Phallospinophylus	setosus	Fagaceae	Quercus	agrifolia	NULL
Miridae	Phylinae	Phylini	Roburocoris	maculosus	Fagaceae	Quercus	agrifolia	NULL
Miridae	Mirinae	Mirini	Irbisia	californica	Fagaceae	Quercus	agrifolia	NULL
Miridae	Mirinae	Mirini	Closterotomus	norvegicus	Fagaceae	Quercus	agrifolia	NULL
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	californicus	Fagaceae	Quercus	ilex	Holly Oak
Miridae	Mirinae	Mirini	Irbisia	californica	Fagaceae	Quercus	engelmannii	Engelmann oak
Miridae	Mirinae	Mirini	Irbisia	californica	Fagaceae	Quercus	gambelii	Gambel oak
Miridae	Mirinae	Mirini	Irbisia	californica	Fagaceae	Quercus	engelmannii	oak and grass
Miridae	Mirinae	Mirini	Irbisia	californica	Asteraceae	Gutierrezia	sarothrae	oak and grass
Miridae	Mirinae	Mirini	Irbisia	silvosa	Fagaceae	Quercus	engelmanni	NULL
Miridae	Mirinae	Mirini	Phytocoris	rufoscriptus	Fagaceae	Quercus		NULL
Miridae	Deraeocorinae	Deraeocorini	Deraeocoris	brevis	Fagaceae	Quercus	agrifolia	NULL
Miridae	Bryocorinae	Dicyphini	Tupiocoris	notatus	Fagaceae	Quercus	agrifolia	NULL
Pentatomidae	Pentatominae	Pentatomini	Dendrocoris	arizonensis				oak
Pentatomidae	Asopinae	none	Apateticus	bracteatus	Fagaceae	Quercus	dumosa	NULL
Miridae	Mirinae	Mirini	Irbisia	californica	Fagaceae			oak
Miridae	Mirinae	Mirini	Irbisia	californica	Fagaceae	Quercus	chrysolepis	oak
Miridae	Mirinae	Mirini	Irbisia	mollipes	Fagaceae	Quercus	sp	NULL
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Trialeurodes	intermedia	Fagaceae	Quercus	sp	oak
Pentatomidae	Pentatominae	Halyini	Brochymena	sulcata				oak
Aphididae	Calaphidinae	Panaphidini	Neosymydobius	agrifoliae	Fagaceae	Quercus	dumosa	California scrub oak
Aphididae	Calaphidinae	Panaphidini	Neosymydobius	agrifoliae	Fagaceae	Quercus	englemanni	Engelmann oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Tetraleurodes	sp	Fagaceae	Quercus	agrifolia	California live oak
Miridae	Phylinae	Phylini	Quernocoris	caliginosus	Fagaceae	Quercus	lobata	NULL
Miridae	Phylinae	Phylini	Rubeospineus	truncatus	Fagaceae	Quercus	lobata	NULL
Miridae	Mirinae	Mirini	Phytocoris	canescens	Fagaceae	Quercus	lobata	Valley oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus	sp	Fagaceae	Quercus	agrifolia	Coast Live Oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Tetraleurodes	sp	Fagaceae	Quercus	agrifolia	oak
Miridae	Phylinae	Phylini	Insulaphylus	cruz	Fagaceae	Quercus		NULL
Miridae	Phylinae	Phylini	Insulaphylus	cruz	Fagaceae	Quercus	dumosa	NULL
Miridae	Mirinae	Mirini	Irbisia	brachycera	Fagaceae	Quercus	dumosa	NULL
Miridae	Mirinae	Herdoniini	Dacerla	alata	Fagaceae	Quercus	dumosa	NULL
Miridae	Phylinae	Phylini	Insulaphylus	cruz	Fagaceae	Quercus	agrifolia	NULL
Aphididae	Hormaphidinae	Nipponaphidini	Thoracaphis	sp	Fagaceae	Quercus	sp	oak
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	sp	Fagaceae	Quercus	sp	live oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Trialeurodes	vaporariorum	Anacardiaceae	Rhus	diversiloba	poison oak
Miridae	Mirinae	Mirini	Irbisia	californica				oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Tuberculoides)	annulatus	Fagaceae	Quercus	kelloggii	NULL
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Tuberculoides)	annulatus	Fagaceae	Quercus	lobata	NULL
Aphididae	Thelaxinae	Thelaxinae_none	Thelaxes	californica	Fagaceae	Quercus	nigra	water oak
Phylloxeridae	Phylloxerinae	Phylloxerini	Phylloxera	stellata	Fagaceae	Quercus	sp	oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	pasaniae	Fagaceae	Lithocarpus	sp	tanoak
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Lineomyzocallis)	bellus	Fagaceae	Quercus	agrifolia	live oak
Miridae	Phylinae	Phylini	Crassomiris	fatisco	Fagaceae	Quercus		NULL
Miridae	Phylinae	Phylini	Ceratopsallus	aquilonius	Fagaceae	Quercus	sp	small leaf oak
Miridae	Phylinae	Phylini	Ceratopsallus	aquilonius	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Pilophorini	Pilophorus	schwarzi	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Pamillia	behrensii	Fagaceae	Quercus	sp	oak
Aphididae	Thelaxinae	Thelaxinae_none	Thelaxes	californica	Fagaceae	Quercus	lobata	Valley oak
Miridae	Phylinae	Phylini	Ceratopsallus	aquilonius	Fagaceae	Quercus	sp	oak
Miridae	Mirinae	Mirini	Phytocoris	fuscosignatus	Fagaceae	Quercus	sp	NULL
Miridae	Deraeocorinae	Deraeocorini	Deraeocoris	sp	Fagaceae	Quercus	garryana	NULL
